pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,benchmark_contract_version,result_schema_version,config_hash,implementation_hash,manifest_sha256,score_direction,score_semantics,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,method_prepare_a_ms,method_prepare_b_ms,method_compare_ms,total_ms,prepare_a_diagnostics,prepare_b_diagnostics,compare_diagnostics,status,error_code,error_message
sd300b_plain_roll_next_subject_impostor_01_00001000_00001002,sd300b,plain_roll_next_subject_impostor,00001000,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.5152171593737752,221.5452,205.8935,21.7552,200.935,181.0132,19.7622,449.2613,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001002_00001003,sd300b,plain_roll_next_subject_impostor,00001002,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,174.1268,301.1317,22.6472,159.1092,275.6266,18.2416,497.984,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001003_00001004,sd300b,plain_roll_next_subject_impostor,00001003,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,4.19047731877913,126.5772,237.838,13.6184,113.9402,216.792,11.88,378.1077,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001004_00001005,sd300b,plain_roll_next_subject_impostor,00001004,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,176.7992,160.8988,16.1517,160.2961,132.6013,13.892,353.9203,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001005_00001006,sd300b,plain_roll_next_subject_impostor,00001005,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,104.9903,249.2973,3.7695,93.6348,225.499,2.3447,358.1271,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001006_00001007,sd300b,plain_roll_next_subject_impostor,00001006,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1.8789985670123532,119.0537,252.8966,13.9546,107.265,227.5183,10.207,385.9667,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001007_00001008,sd300b,plain_roll_next_subject_impostor,00001007,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,192.2592,176.0764,9.7112,178.4266,155.9878,8.3263,378.1272,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001008_00001009,sd300b,plain_roll_next_subject_impostor,00001008,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,2.4676773040113167,122.6245,197.3748,11.5139,110.1323,175.9063,10.1994,331.581,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001009_00001010,sd300b,plain_roll_next_subject_impostor,00001009,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1.1926595935433917,150.8228,256.4559,14.6238,135.6555,233.666,12.9182,421.9716,{},{},{},ok,,
sd300b_plain_roll_next_subject_impostor_01_00001010_00001011,sd300b,plain_roll_next_subject_impostor,00001010,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,825352b28bc7b86d4104cafd4f8d13c5bdad62af27f14b488a953d409c01979c,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,128.4722,228.4196,13.5667,116.276,204.7354,12.2194,370.5362,{},{},{},ok,,
