pair_id,dataset,protocol,subject_id,canonical_finger_position,method,method_version,benchmark_contract_version,result_schema_version,config_hash,implementation_hash,manifest_sha256,score_direction,score_semantics,raw_score,prepare_a_ms,prepare_b_ms,compare_ms,method_prepare_a_ms,method_prepare_b_ms,method_compare_ms,total_ms,prepare_a_diagnostics,prepare_b_diagnostics,compare_diagnostics,status,error_code,error_message
sd300c_plain_roll_next_subject_impostor_01_00001000_00001002,sd300c,plain_roll_next_subject_impostor,00001000,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1.7505503732313326,295.906,432.3717,16.8602,231.6119,360.4078,15.0261,745.2431,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001002_00001003,sd300c,plain_roll_next_subject_impostor,00001002,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1.1103319055126812,283.5994,524.4351,12.0617,231.9379,428.0491,9.9227,820.1648,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001003_00001004,sd300c,plain_roll_next_subject_impostor,00001003,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,234.7914,467.8165,10.0897,192.869,378.3781,8.3668,712.7639,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001004_00001005,sd300c,plain_roll_next_subject_impostor,00001004,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,303.331,317.9489,13.1829,250.9506,256.9048,11.3267,634.5426,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001005_00001006,sd300c,plain_roll_next_subject_impostor,00001005,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,232.4587,507.915,4.4141,195.4949,426.4587,2.6955,744.8513,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001006_00001007,sd300c,plain_roll_next_subject_impostor,00001006,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,2.6472008093119372,283.7508,503.2773,8.3023,243.4089,400.1632,6.6337,795.4054,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001007_00001008,sd300c,plain_roll_next_subject_impostor,00001007,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,4.460125901994569,282.8112,395.5424,8.5868,226.8792,324.2564,7.0219,687.0126,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001008_00001009,sd300c,plain_roll_next_subject_impostor,00001008,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,1.5405452439151093,290.4524,431.0601,10.3587,240.7587,357.8623,9.0136,731.9476,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001009_00001010,sd300c,plain_roll_next_subject_impostor,00001009,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,302.4742,498.116,13.046,249.7668,412.8005,11.2737,813.6986,{},{},{},ok,,
sd300c_plain_roll_next_subject_impostor_01_00001010_00001011,sd300c,plain_roll_next_subject_impostor,00001010,1,sourceafis,3.18.1,pairwise-benchmark-v2,pairwise-result-v2,cb6ed29d0231c44a3d95e60fd1b9fd7aa8f2fa333c8ccecd971b252c041830c3,153bf41d47720151cee10b6fdb63accdd8366407e5e6803dcf611f084269adbd,89e1cd3adb4402c0e818bb6a272490a7580c908883a2bb1e2e2211002b1bf8aa,higher_is_more_similar,Unnormalized SourceAFIS similarity score returned by FingerprintMatcher.match; no threshold or decision is applied.,0.0,247.6175,446.8264,13.7336,202.5473,369.0129,12.1709,708.2447,{},{},{},ok,,
