pair_id,dataset,protocol,label,score_mode,reference_score,selected_score,score_delta_selected_minus_reference,reference_accepted,selected_accepted,decision_agreement,reference_accept_selected_reject,reference_reject_selected_accept,reference_zero_selected_positive,reference_positive_selected_zero,reference_geometry_success,selected_geometry_success,latency_delta_ms,keypoint_delta_a,keypoint_delta_b,match_count_delta,inlier_count_delta
pilot_genuine_sd300b_plain_roll_00001210_06,sd300b,plain_roll,1,geometric_inlier_count,17.0,8.0,-9.0,True,True,True,False,False,False,False,True,True,282.9478,-1.0,0.0,-32.0,-9.0
pilot_genuine_sd300b_plain_roll_00001227_08,sd300b,plain_roll,1,geometric_inlier_count,16.0,7.0,-9.0,True,True,True,False,False,False,False,True,True,206.5302,1.0,0.0,-26.0,-9.0
pilot_genuine_sd300b_plain_roll_00001394_02,sd300b,plain_roll,1,geometric_inlier_count,15.0,6.0,-9.0,True,True,True,False,False,False,False,True,True,172.53070000000002,0.0,0.0,-30.0,-9.0
pilot_genuine_sd300b_plain_roll_00001454_06,sd300b,plain_roll,1,geometric_inlier_count,7.0,7.0,0.0,False,True,False,False,True,False,False,True,True,277.15729999999996,0.0,0.0,-15.0,0.0
pilot_genuine_sd300b_plain_roll_00001454_07,sd300b,plain_roll,1,geometric_inlier_count,12.0,4.0,-8.0,True,True,True,False,False,False,False,True,True,185.81550000000001,0.0,1.0,-22.0,-8.0
pilot_genuine_sd300b_plain_roll_00001530_01,sd300b,plain_roll,1,geometric_inlier_count,5.0,3.0,-2.0,False,False,True,False,False,False,False,True,True,276.9507,0.0,1.0,-8.0,-2.0
pilot_genuine_sd300b_plain_roll_00001530_05,sd300b,plain_roll,1,geometric_inlier_count,3.0,0.0,-3.0,False,False,True,False,False,False,True,True,False,172.4747,-1816.0,0.0,-7.0,-3.0
pilot_genuine_sd300b_plain_roll_00001585_10,sd300b,plain_roll,1,geometric_inlier_count,9.0,3.0,-6.0,False,False,True,False,False,False,False,True,True,217.75220000000002,-46.0,0.0,-23.0,-6.0
pilot_genuine_sd300b_plain_roll_00001701_05,sd300b,plain_roll,1,geometric_inlier_count,6.0,6.0,0.0,False,True,False,False,True,False,False,True,True,176.6012,-287.0,0.0,-16.0,0.0
pilot_genuine_sd300b_plain_roll_00001747_01,sd300b,plain_roll,1,geometric_inlier_count,4.0,2.0,-2.0,False,False,True,False,False,False,False,True,True,306.58169999999996,0.0,-1.0,-21.0,-2.0
pilot_genuine_sd300b_plain_roll_00001776_07,sd300b,plain_roll,1,geometric_inlier_count,19.0,3.0,-16.0,True,False,False,True,False,False,False,True,True,180.23219999999998,0.0,0.0,-33.0,-16.0
pilot_genuine_sd300b_plain_roll_00001777_07,sd300b,plain_roll,1,geometric_inlier_count,6.0,2.0,-4.0,False,False,True,False,False,False,False,True,True,170.23219999999998,-1.0,0.0,-37.0,-4.0
pilot_genuine_sd300b_plain_self_00001006_05,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,9.05880000000002,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001207_03,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,8.411599999999993,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001272_02,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,4.207799999999992,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001338_02,sd300b,plain_self,1,geometric_inlier_count,3001.0,3000.0,-1.0,True,True,True,False,False,False,False,True,True,10.039900000000017,-1.0,-1.0,-1.0,-1.0
pilot_genuine_sd300b_plain_self_00001344_02,sd300b,plain_self,1,geometric_inlier_count,3000.0,3001.0,1.0,True,True,True,False,False,False,False,True,True,17.91069999999999,1.0,1.0,1.0,1.0
pilot_genuine_sd300b_plain_self_00001602_03,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,65.1893,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001622_01,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,175.7179,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001638_06,sd300b,plain_self,1,geometric_inlier_count,2975.0,3000.0,25.0,True,True,True,False,False,False,False,True,True,221.5761,25.0,25.0,25.0,25.0
pilot_genuine_sd300b_plain_self_00001676_02,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,35.09219999999999,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001705_05,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,23.7783,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001783_10,sd300b,plain_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,31.72800000000001,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_plain_self_00001845_01,sd300b,plain_self,1,geometric_inlier_count,3001.0,3000.0,-1.0,True,True,True,False,False,False,False,True,True,213.1735,-1.0,-1.0,-1.0,-1.0
pilot_genuine_sd300b_roll_self_00001032_10,sd300b,roll_self,1,geometric_inlier_count,3001.0,3000.0,-1.0,True,True,True,False,False,False,False,True,True,374.03950000000003,-1.0,-1.0,-1.0,-1.0
pilot_genuine_sd300b_roll_self_00001144_02,sd300b,roll_self,1,geometric_inlier_count,3001.0,3000.0,-1.0,True,True,True,False,False,False,False,True,True,384.82099999999997,-1.0,-1.0,-1.0,-1.0
pilot_genuine_sd300b_roll_self_00001144_05,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,397.9557,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001467_09,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,404.1947,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001475_03,sd300b,roll_self,1,geometric_inlier_count,3001.0,3000.0,-1.0,True,True,True,False,False,False,False,True,True,338.43309999999997,-1.0,-1.0,-1.0,-1.0
pilot_genuine_sd300b_roll_self_00001495_02,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,360.85209999999995,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001511_10,sd300b,roll_self,1,geometric_inlier_count,3002.0,3000.0,-2.0,True,True,True,False,False,False,False,True,True,384.7224,-2.0,-2.0,-2.0,-2.0
pilot_genuine_sd300b_roll_self_00001608_02,sd300b,roll_self,1,geometric_inlier_count,3001.0,3001.0,0.0,True,True,True,False,False,False,False,True,True,365.475,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001667_10,sd300b,roll_self,1,geometric_inlier_count,3000.0,3002.0,2.0,True,True,True,False,False,False,False,True,True,388.2301,2.0,2.0,2.0,2.0
pilot_genuine_sd300b_roll_self_00001764_10,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,373.26980000000003,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001777_06,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,396.9174,0.0,0.0,0.0,0.0
pilot_genuine_sd300b_roll_self_00001789_06,sd300b,roll_self,1,geometric_inlier_count,3000.0,3000.0,0.0,True,True,True,False,False,False,False,True,True,393.996,0.0,0.0,0.0,0.0
pilot_genuine_sd300c_plain_roll_00001008_01,sd300c,plain_roll,1,geometric_inlier_count,12.0,13.0,1.0,True,True,True,False,False,False,False,True,True,1516.749,0.0,-1.0,-27.0,1.0
pilot_genuine_sd300c_plain_roll_00001070_07,sd300c,plain_roll,1,geometric_inlier_count,5.0,2.0,-3.0,False,False,True,False,False,False,False,True,True,1031.3081,0.0,0.0,-12.0,-3.0
pilot_genuine_sd300c_plain_roll_00001103_05,sd300c,plain_roll,1,geometric_inlier_count,4.0,0.0,-4.0,False,False,True,False,False,False,True,True,False,906.6315,-1985.0,1.0,-14.0,-4.0
pilot_genuine_sd300c_plain_roll_00001103_07,sd300c,plain_roll,1,geometric_inlier_count,22.0,7.0,-15.0,True,True,True,False,False,False,False,True,True,1000.7391000000001,0.0,0.0,-24.0,-15.0
pilot_genuine_sd300c_plain_roll_00001168_02,sd300c,plain_roll,1,geometric_inlier_count,15.0,13.0,-2.0,True,True,True,False,False,False,False,True,True,1039.4942,0.0,0.0,-28.0,-2.0
pilot_genuine_sd300c_plain_roll_00001182_10,sd300c,plain_roll,1,geometric_inlier_count,3.0,0.0,-3.0,False,False,True,False,False,False,True,True,False,868.2829999999999,-1442.0,0.0,-2.0,-3.0
